temperature,humidity,rainfall_7d_mm,growth_stage,likely_pest,risk_score,risk_level
33.5,80.1,67.1,Ripening,Rice Bug,0.948,High
26.8,55.0,107.7,Tillering,Stem Borer,0.769,High
35.2,89.6,33.4,Flowering,Rice Bug,1.0,High
31.9,46.9,3.1,Vegetative,Stem Borer,0.551,Medium
19.9,67.7,93.1,Ripening,Rice Bug,0.766,High
37.5,42.9,84.3,Seedling,Rice Bug,0.357,Low
33.2,64.7,65.5,Vegetative,Stem Borer,0.477,Medium
33.7,40.7,97.8,Ripening,Rice Bug,0.724,High
20.6,41.3,100.8,Tillering,Rice Blast Risk,0.514,Medium
27.0,72.9,70.5,Seedling,Stem Borer,0.705,High
25.4,48.5,115.9,Tillering,Leaf Folder,0.642,Medium
36.5,42.1,86.4,Vegetative,Stem Borer,0.46,Medium
30.9,95.1,81.2,Tillering,Stem Borer,1.0,High
34.5,33.0,43.4,Vegetative,Stem Borer,0.315,Low
26.9,69.6,0.3,Vegetative,Leaf Folder,0.673,Medium
22.5,68.4,28.9,Ripening,Rice Bug,0.741,High
29.1,47.5,91.7,Seedling,Stem Borer,0.402,Low
19.3,61.7,85.2,Flowering,Rice Bug,0.512,Medium
34.6,36.1,39.7,Seedling,Rice Bug,0.31,Low
30.6,80.5,75.1,Tillering,Stem Borer,1.0,High
33.2,45.5,23.4,Flowering,Rice Bug,0.713,High
25.1,43.5,31.6,Ripening,Rice Blast Risk,0.547,Medium
37.4,52.0,113.7,Vegetative,Stem Borer,0.378,Low
35.9,93.2,49.6,Seedling,Rice Blast Risk,0.566,Medium
33.6,85.8,29.4,Flowering,Rice Bug,0.995,High
21.9,96.3,58.5,Ripening,Rice Blast Risk,1.0,High
27.3,75.6,46.4,Tillering,Leaf Folder,0.914,High
18.9,76.4,87.5,Seedling,Stem Borer,0.399,Low
21.1,63.6,115.5,Tillering,Rice Blast Risk,0.547,Medium
31.7,93.4,71.0,Vegetative,Stem Borer,1.0,High
32.9,65.8,70.9,Tillering,Rice Bug,0.452,Medium
37.4,54.9,43.8,Seedling,Rice Bug,0.179,Low
24.5,74.8,67.8,Vegetative,Stem Borer,0.631,Medium
25.4,68.2,38.3,Ripening,Rice Bug,0.817,High
27.4,38.7,0.1,Seedling,Brown Planthopper,0.351,Low
21.8,57.5,103.9,Ripening,Rice Blast Risk,0.525,Medium
20.6,51.9,51.5,Tillering,Rice Blast Risk,0.655,Medium
27.5,89.3,59.1,Tillering,Leaf Folder,0.963,High
22.5,56.5,10.0,Ripening,Rice Bug,0.517,Medium
31.4,87.5,100.5,Vegetative,Stem Borer,1.0,High
26.7,61.0,20.4,Ripening,Rice Bug,0.551,Medium
34.7,82.7,49.3,Vegetative,Stem Borer,0.633,Medium
32.0,39.5,100.8,Vegetative,Stem Borer,0.364,Low
24.2,94.7,54.9,Tillering,Leaf Folder,1.0,High
34.6,63.6,111.7,Flowering,Rice Bug,0.846,High
34.1,48.2,25.1,Vegetative,Stem Borer,0.362,Low
25.7,46.9,85.8,Flowering,Rice Blast Risk,0.525,Medium
23.8,48.6,117.4,Seedling,Rice Blast Risk,0.571,Medium
31.6,55.7,66.0,Flowering,Rice Bug,0.781,High
20.8,80.2,83.1,Flowering,Rice Bug,0.784,High
22.0,96.5,47.2,Tillering,Rice Blast Risk,0.958,High
18.1,76.8,90.2,Flowering,Rice Bug,0.723,High
33.7,68.3,109.1,Flowering,Rice Bug,1.0,High
31.3,61.4,84.4,Ripening,Rice Bug,0.813,High
32.1,88.0,112.3,Vegetative,Stem Borer,0.688,High
33.6,89.5,70.6,Tillering,Stem Borer,0.699,High
27.2,50.5,69.3,Tillering,Stem Borer,0.649,Medium
29.4,96.7,36.6,Vegetative,Leaf Folder,1.0,High
20.8,57.7,85.2,Ripening,Rice Blast Risk,0.558,Medium
20.3,86.0,105.8,Tillering,Rice Blast Risk,1.0,High
31.4,97.7,77.6,Tillering,Stem Borer,1.0,High
27.4,79.3,28.0,Seedling,Stem Borer,0.704,High
29.3,41.3,65.3,Tillering,Stem Borer,0.625,Medium
33.3,71.0,90.7,Flowering,Rice Bug,0.892,High
30.7,38.3,112.7,Tillering,Stem Borer,0.763,High
29.1,85.2,18.8,Flowering,Rice Bug,1.0,High
29.2,49.7,15.3,Seedling,Brown Planthopper,0.41,Low
24.1,78.7,49.6,Seedling,Leaf Folder,0.588,Medium
18.6,93.7,15.1,Vegetative,Brown Planthopper,0.655,Medium
26.7,42.7,117.7,Vegetative,Stem Borer,0.753,High
22.3,57.5,50.9,Ripening,Rice Blast Risk,0.637,Medium
26.2,75.3,64.0,Ripening,Rice Bug,0.719,High
35.1,59.4,27.3,Tillering,Stem Borer,0.434,Medium
22.7,42.2,53.9,Tillering,Rice Blast Risk,0.56,Medium
19.2,32.0,118.2,Vegetative,Stem Borer,0.394,Low
23.6,58.5,58.6,Tillering,Rice Blast Risk,0.643,Medium
23.9,75.4,1.1,Flowering,Rice Bug,0.727,High
31.2,70.2,29.1,Flowering,Rice Bug,1.0,High
29.1,40.9,117.4,Ripening,Rice Bug,0.769,High
33.7,61.5,118.7,Tillering,Stem Borer,0.399,Low
31.3,55.9,25.3,Vegetative,Stem Borer,0.769,High
26.1,49.2,73.8,Seedling,Rice Blast Risk,0.565,Medium
34.3,81.0,9.2,Flowering,Rice Bug,0.995,High
21.3,51.7,69.3,Ripening,Rice Blast Risk,0.619,Medium
18.5,67.8,15.1,Tillering,Leaf Folder,0.412,Low
19.8,94.6,98.2,Ripening,Rice Bug,0.81,High
32.4,67.7,112.7,Vegetative,Rice Bug,0.306,Low
27.2,73.2,20.8,Seedling,Stem Borer,0.722,High
21.2,35.1,55.5,Flowering,Rice Blast Risk,0.561,Medium
28.0,42.5,12.2,Seedling,Brown Planthopper,0.398,Low
21.0,37.1,40.7,Seedling,Rice Blast Risk,0.58,Medium
31.9,83.5,7.8,Flowering,Rice Bug,1.0,High
26.9,88.5,31.7,Tillering,Leaf Folder,1.0,High
25.6,43.1,118.8,Flowering,Rice Blast Risk,0.537,Medium
24.0,45.3,5.4,Flowering,Rice Bug,0.575,Medium
30.6,52.6,103.1,Vegetative,Stem Borer,0.739,High
25.2,71.4,9.3,Flowering,Rice Bug,0.777,High
19.8,73.5,63.5,Tillering,Stem Borer,0.725,High
20.4,78.1,54.3,Tillering,Stem Borer,0.758,High
37.2,93.4,111.8,Flowering,Rice Bug,1.0,High
36.2,50.7,23.9,Vegetative,Stem Borer,0.394,Low
32.0,76.1,21.6,Tillering,Stem Borer,1.0,High
23.3,69.2,89.8,Tillering,Rice Blast Risk,0.559,Medium
37.4,51.4,87.1,Seedling,Rice Bug,0.346,Low
33.6,93.5,83.9,Vegetative,Stem Borer,0.755,High
32.3,36.7,3.1,Seedling,Rice Bug,0.219,Low
27.0,79.8,31.2,Seedling,Stem Borer,0.817,High
23.4,81.0,100.8,Tillering,Stem Borer,0.595,Medium
19.9,94.1,72.1,Ripening,Rice Bug,0.782,High
36.1,66.3,72.3,Ripening,Rice Bug,0.965,High
27.1,52.5,35.5,Flowering,Rice Bug,0.844,High
22.0,87.9,31.2,Tillering,Rice Blast Risk,1.0,High
24.1,84.0,113.6,Vegetative,Leaf Folder,0.96,High
29.6,65.0,87.3,Vegetative,Stem Borer,0.687,High
21.5,83.8,15.2,Flowering,Rice Bug,0.714,High
35.1,48.8,112.5,Ripening,Rice Bug,0.735,High
33.2,71.3,69.9,Ripening,Rice Bug,0.984,High
32.4,90.6,40.0,Vegetative,Stem Borer,0.662,Medium
26.6,52.3,47.7,Tillering,Stem Borer,0.714,High
30.5,63.8,87.0,Tillering,Stem Borer,0.72,High
29.7,96.6,45.2,Seedling,Brown Planthopper,0.65,Medium
31.0,85.9,69.4,Seedling,Stem Borer,0.617,Medium
19.7,92.1,85.3,Seedling,Rice Blast Risk,0.666,Medium
26.3,57.0,23.4,Flowering,Brown Planthopper,0.627,Medium
18.8,99.8,113.3,Vegetative,Stem Borer,0.737,High
27.9,40.7,42.7,Flowering,Rice Bug,0.778,High
24.6,66.3,50.3,Vegetative,Leaf Folder,0.729,High
20.9,63.5,83.8,Flowering,Rice Blast Risk,0.6,Medium
20.1,85.9,73.1,Seedling,Rice Blast Risk,1.0,High
29.8,93.6,52.8,Vegetative,Leaf Folder,1.0,High
21.4,81.2,78.0,Vegetative,Stem Borer,0.612,Medium
36.5,73.9,108.3,Tillering,Stem Borer,0.59,Medium
29.6,59.9,96.0,Tillering,Stem Borer,0.7,High
24.9,65.7,98.9,Seedling,Rice Blast Risk,0.575,Medium
29.8,65.7,31.0,Flowering,Rice Bug,0.996,High
18.5,31.4,50.3,Ripening,Rice Bug,0.535,Medium
37.2,65.2,66.5,Seedling,Rice Bug,0.486,Medium
