Year,yield_kg_ha
1961,1862.6000000000001
1962,1953.9
1963,1954.7
1964,1996.2
1965,1769.6000000000001
1966,1836.5
1967,2125.9
1968,2396.8
1969,2565.4
1970,2248.5
1971,2011.9
1972,2054.0
1973,1953.9
1974,2010.4
1975,1932.5
1976,1971.2
1977,2144.1
1978,2252.1
1979,2428.2000000000003
1980,2589.7000000000003
1981,2646.2000000000003
1982,2889.6000000000004
1983,3197.7000000000003
1984,2731.6000000000004
1985,3077.7000000000003
1986,3094.4
1987,3131.8
1988,3036.7000000000003
1989,2991.6000000000004
1990,3064.3
1991,3021.5
1992,3054.4
1993,3135.0
1994,2993.3
1995,3158.6000000000004
1996,3123.1000000000004
1997,3245.1000000000004
1998,3510.2000000000003
1999,3281.0
2000,3437.4
2001,3522.8
2002,3488.9
2003,3369.6000000000004
2004,3651.6000000000004
2005,3546.5
2006,3670.5
2007,3833.7000000000003
2008,3680.0
2009,3874.8
2010,4055.8
2011,3569.9
2012,3605.7000000000003
2013,3889.7000000000003
2014,3837.7000000000003
2015,3872.6000000000004
2016,3916.0
