crop_stage,temperature,humidity,rainfall,soil_moisture,irrigation_needed
seedling,36.504887987538865,82.70450998338184,44.679332036908114,26.128022001502288,0
ripening,34.38475732317822,52.63247627852381,83.69903652886838,39.86839885287441,0
vegetative,27.33032243245827,43.74456172585688,22.18240305099961,52.73428145140223,0
seedling,23.29762223980795,33.8599072203763,49.394525566220125,48.19402472014398,0
ripening,28.515858742620917,86.94174511483732,92.96187394467545,78.23062661906661,0
ripening,25.715746274735082,89.70551932737274,66.72147067866749,57.625917807663654,0
ripening,24.119802156127726,37.80781184062594,79.80790197559975,61.79623694339079,0
ripening,22.854834908589204,51.74079319724747,55.09939701854862,77.68691635767132,0
vegetative,33.60950982736926,41.399184518490856,98.046645884063,39.010661765996474,0
ripening,22.1828393380005,37.533400473682185,58.86621546814742,34.876587054273585,0
vegetative,34.329291976044416,88.49133829500197,4.551071396259154,13.070370083646779,1
flowering,24.351146326406003,33.6970218444481,19.798279993979484,22.894301456317898,0
seedling,23.272353321388092,93.73156812548544,40.4773628957148,26.60327424361731,0
ripening,23.433648547817686,36.269305945329975,60.12771725737763,22.845312694993694,0
flowering,32.75276491766263,86.12559219758307,77.19308674089599,62.834872523759515,0
seedling,25.925875357645516,66.82289695429557,41.30861259038863,47.511808689327815,0
seedling,28.728631466881573,53.914636708161765,71.00583050156887,56.73436610209271,0
seedling,30.91790066118267,52.25225448063526,78.98695031091249,67.43235125875616,0
flowering,35.7688187812607,79.22866931045107,31.726019724998277,26.154175890012628,0
vegetative,33.632708203381256,50.44726417527867,97.92702400358185,32.81467578750494,0
flowering,26.325246483819434,72.72572958011422,64.96564952358355,59.585218692561774,0
ripening,24.10372478865804,63.62619542854521,88.09980607861311,37.4931262133131,0
ripening,22.88598912673917,61.52276693527458,55.59376888086067,12.04896580707309,0
flowering,26.82557815169508,88.5755410921955,74.16031071523237,40.446865331881455,0
seedling,26.193890387834852,66.05192881031687,77.05440616163654,73.579116049079,0
vegetative,29.298249068807674,83.74600419816517,90.8248379234579,38.63150581150123,0
vegetative,32.932501368762885,77.16227971659681,15.034975687137031,33.25742415099229,1
vegetative,33.13000713022171,32.506220993834894,55.82834241692485,79.2667558061519,0
vegetative,26.536301545314664,80.25215341285224,42.83785131058563,55.109089496590926,0
seedling,28.07883129440193,44.096566255917644,92.31590211737402,35.61986185298266,0
vegetative,24.89841538779045,88.70472704535214,10.509469424899919,17.141367195466515,0
seedling,34.6167281969043,32.79007238957408,98.25738886809128,65.14946114624948,0
ripening,22.909569222931843,51.64968224083072,87.54513240932963,59.56524534414304,0
seedling,33.151955867599796,36.48264157025901,7.382628156424853,74.53410594739954,0
ripening,34.459126335057654,60.913292610514844,49.096638554047445,25.20929410196058,0
vegetative,34.43852098958005,83.30145833153387,71.75595002125259,18.044704499176238,0
flowering,26.15076102952568,49.38217837809917,73.81515456910564,60.68507684863445,0
ripening,27.981010206920985,39.8107683252177,90.64941252379208,24.237708939908696,0
ripening,31.401594163142224,51.46735732029845,79.98654355823109,22.32726864526473,0
seedling,26.365150438791474,82.90220922484133,31.09303803440895,32.386513477725046,0
flowering,27.93364478748622,39.12495725695754,49.84347858624524,67.17775990349064,0
ripening,25.152868482970234,44.77855919003762,70.17857629358541,47.76756235767415,0
seedling,29.357694140096118,34.47537769206931,13.843684136435142,13.209524857159668,1
vegetative,22.713796820065824,75.8711528593245,19.39907976001973,42.472627226152206,0
ripening,34.79673415312989,55.690160829861895,48.10424481098726,57.87857279565326,0
vegetative,23.231303151786122,50.20459851431554,29.824579870551272,47.6857906928311,0
ripening,30.301362381304415,76.71071537217487,86.2559249784095,50.07151527095892,0
ripening,26.908961592723138,51.83854025211659,58.627732152061796,25.73441298748652,0
flowering,31.240687181302008,77.30513275893716,34.86651977183677,69.34175321167436,0
ripening,37.350933453334804,82.98796069543039,84.88330256044101,49.29791023137869,0
seedling,32.329123911296065,44.148084824753,80.48784485542389,59.92722091284736,0
vegetative,22.565798972087855,93.29821529498892,99.83548770992695,78.73049519093118,0
vegetative,28.88643903212898,40.55326661432334,84.73076883337349,39.97390603721725,0
vegetative,30.160269637092004,48.904658932688264,41.44565348056797,71.6746628873556,0
ripening,30.57883991525523,41.6866939041802,12.749888176998848,10.509670975878752,1
seedling,32.90228016966141,52.457867663161736,84.06409082004778,12.338510483058407,0
ripening,26.44153756370826,61.203957708349115,5.975791796039398,51.31959452101719,0
flowering,24.061769047461123,63.94143148513774,35.027120734485415,31.801457687954045,0
seedling,28.28281082475351,85.48439274925768,91.97379807712738,27.379359691379015,0
ripening,37.30249156473518,87.81411407303133,96.07664734451006,29.4554750046271,0
ripening,24.994094268013516,44.30675095075891,64.05645935212185,32.28820542274113,0
flowering,36.463743278851794,70.48811209207392,68.86483169837135,61.026338730039605,0
ripening,30.700895201237223,37.24724372441651,4.245448872552249,49.84371805616612,0
flowering,29.31058274633225,59.833040911834445,51.448034108954786,65.23251807915335,0
ripening,36.112662563678235,50.95167997303018,54.68681788063412,68.11376058845363,0
seedling,29.337663388297372,50.57254845448442,34.01007461241111,69.00544015108974,0
flowering,33.586682185784696,61.36797571128656,6.859683475388434,39.02509044224213,1
seedling,28.38440514724963,77.43879630940239,22.8907599724394,39.489137742148756,1
seedling,36.464710286415325,34.49687282150532,35.79839368611963,74.83861160984088,0
seedling,33.040400323059636,87.14626694968129,43.51419865163296,56.32345162230873,0
vegetative,33.19395286800827,77.76289535098647,59.09267255335692,15.632702878539714,0
vegetative,27.243526424913902,41.47246027778891,72.23915186982364,47.95308678647278,0
flowering,34.10845828379023,91.04545909067907,31.763187327394615,34.92050817444348,0
seedling,32.17697688715426,62.91029456152026,32.89537599189831,79.12044928014542,0
seedling,25.84032437407535,94.98755757760274,1.9691642723703717,10.95587845236048,0
vegetative,24.568621159764103,42.821865829547946,4.087486009401831,52.85266111493906,0
ripening,34.74226359227731,64.7690328949081,25.782169430853642,60.653616607920064,0
seedling,37.34666564856356,48.86612276639535,74.02449976749567,30.223473995014864,0
vegetative,29.330221236160686,49.77128123030103,62.83138303739122,78.15490627795725,0
flowering,31.45574664517896,68.41924975420936,76.97890206778347,70.16756389151979,0
flowering,35.72356230709687,89.91173934660416,76.89194362148217,74.09569886900687,0
ripening,29.315575253661713,82.34215061264638,85.65674676693013,11.346244154608394,0
seedling,37.22999162932378,77.05619090258618,72.03192659868836,49.89105059203663,0
vegetative,31.21201859271796,66.34629583661064,97.90109190008228,30.62551693681827,0
vegetative,35.132273931221036,89.9494027383841,89.88252193018174,69.4320044454964,0
ripening,36.54149949460381,62.00349143490747,58.67171662232342,54.29947598404737,0
vegetative,35.0483811002971,86.79909159175668,58.81576704911717,47.72139030247768,0
vegetative,24.550631415183297,84.20880685198107,3.4267040352229494,18.0211718772924,0
ripening,32.062375024987205,43.89929754210313,99.85265777083544,47.815596335033355,0
flowering,28.374948137914835,80.12965509278416,13.157599736614179,54.23329024494986,0
ripening,23.003407232373533,30.79112520131182,74.0347196631592,76.91386165171431,0
ripening,28.78451603023747,50.98391994062569,82.10151951243088,50.953570729670865,0
flowering,26.138945070230523,44.92188390497674,37.305452930520325,77.71804212219581,0
flowering,35.584612934856175,62.94609230167537,19.685205466531375,77.31242809246635,0
ripening,22.532874024747137,77.89545550925106,9.875988679055503,55.514023508351826,0
seedling,37.34372354981558,36.34896388410207,74.86060058295779,45.41355888826621,0
flowering,27.685901575550872,63.46994312588995,45.26535292056957,42.621522067823456,0
ripening,27.707310246440684,90.99678141013507,71.37177590011356,72.32649927810479,0
vegetative,22.261256042939326,44.86202581389146,91.54076488518005,11.977967808022974,0
seedling,24.96371720377894,74.01417436724256,14.658373615105669,17.96657386165001,0
vegetative,28.42015201285774,68.53721760077525,91.91710007237997,17.14502103834063,0
flowering,36.86866267684342,30.654140217646066,41.16264595084367,62.98547275847383,0
seedling,23.593838883540343,60.92870273071948,30.526700989728905,33.77557166967743,0
ripening,37.12482453566527,76.07007541116816,94.30622606027791,54.65779813184907,0
seedling,35.91181648874611,32.85840308156589,99.06516926063993,52.26480326897959,0
flowering,29.26659835052083,87.16889639654246,19.889221776744815,37.00795788197722,1
seedling,27.22721410829216,63.805292081318754,65.68383469519833,47.2097405569679,0
ripening,25.72390606846491,31.992968141171666,10.649531377106037,55.1596973500162,0
ripening,31.831435303629988,44.58688477485461,65.09140038575057,75.86652309146969,0
seedling,22.529193463608088,91.98892026777534,82.73132277758496,50.2943851002687,0
ripening,22.249697031149253,67.85078264838359,68.44985465240676,53.005725823782,0
seedling,28.860731559971804,36.98571690497229,41.73331420625958,14.749907239264282,0
seedling,23.089185183595525,48.6903926482365,38.30663595637696,76.65510703320784,0
seedling,26.031055811937485,59.68573568093147,39.31224152234171,46.965734953657034,0
seedling,25.53857464553734,31.36175450240248,58.97118179929232,66.08913939019453,0
flowering,26.05105909956563,56.755008384894325,88.15672700724956,13.520374420317236,0
ripening,24.096883699444124,61.81481130325538,92.90661572687678,39.46370950159637,0
seedling,22.19257956636247,45.83906189328009,5.352962020731811,27.988282140689112,0
ripening,23.84774875421997,68.26153501897912,18.16223946456883,28.688312908201297,0
flowering,31.895684152203966,78.96060777349149,11.22243158282885,65.40176109726505,0
ripening,37.588099405088805,45.32922456686631,19.3334640766914,53.67067076881975,0
ripening,37.845520024974306,70.3324935181992,34.66078106091718,40.78217182899937,0
vegetative,28.544865525968987,71.5754457926432,50.65316826226238,10.74100177104754,0
vegetative,24.607270816745686,91.65511957337466,62.94612270091522,77.54495600618709,0
vegetative,32.22018811786447,80.58795087426884,73.21422191397015,77.34162773490067,0
seedling,29.844885544779792,85.14244253635039,89.01115413858071,25.228654719602694,0
vegetative,37.83055643655091,61.87729404835788,98.90884372297907,12.894246062158969,0
vegetative,23.044867314428483,42.04765815365988,66.28564785571199,47.11395541083315,0
vegetative,34.53175101302101,94.72799404237628,84.5364518667763,76.59875702314852,0
ripening,26.614375957303903,38.40812446751548,77.8038846924699,73.72770920354544,0
seedling,25.862697921225184,60.64472575802725,30.753203921871197,50.92640047225776,0
ripening,32.60007314452282,34.42605145073693,87.5692270234923,31.248419545759504,0
vegetative,25.93701095985543,91.35030572780326,4.276313794779885,33.09726186384371,0
flowering,32.653745880947,92.72012115514858,0.036734375145786036,72.85394860402192,0
seedling,30.276936275236622,76.76028903025829,27.37326293884642,44.42488249449038,0
vegetative,28.78542381497359,52.74953483596098,46.209752962744986,19.17813602770019,0
flowering,30.875004938582705,46.53485607264558,63.836289500067736,27.38978331815251,0
seedling,26.592824318714076,47.244716094908085,10.17702665445448,29.375643102724936,0
flowering,33.305195300367664,38.27411165230485,67.301013383484,18.648267945233655,0
seedling,28.637709909337026,64.17758194998699,80.18158670596945,42.413106706490396,0
vegetative,27.768728967774276,39.21812292059604,18.53129195793668,74.12356357924938,0
ripening,35.258510632891806,50.58749332597466,41.51252548317939,56.814778009458266,0
flowering,36.79947059125107,70.73592093734182,51.998498995330976,15.07317469741993,0
flowering,22.73611697419675,77.29033462339873,45.18070180844806,10.38463724664139,0
vegetative,25.722031885276248,31.577725800433978,79.98299308884707,29.3373367228478,0
seedling,27.57630991188101,57.957538984488096,96.05223981193308,35.38850543557582,0
ripening,35.03946366992396,72.38809866473903,79.89531640081799,64.3724768332743,0
vegetative,37.76786284229276,85.46098845030333,7.799281787582457,77.69038667512567,0
