fertilizer_kg_acre,rainfall_mm,temperature,seed_variety,irrigation_type,disease_status,soil_quality,baseline_yield_kg_ha,yield_kg_acre
87.2,925.0,29.0,BG 352,Full Irrigation,Moderate,Average,4113.1,1389.1
116.1,1492.0,31.3,BG 358,Partial Irrigation,None,Excellent,4356.7,2387.0
57.1,1703.0,25.9,AT 362,Partial Irrigation,Mild,Good,4316.1,1576.4
62.5,1499.0,28.4,BG 352,Partial Irrigation,None,Poor,4234.9,1528.6
101.2,1070.0,29.3,Traditional,Full Irrigation,None,Excellent,4234.9,1640.9
70.6,1417.0,31.4,BG 352,Rainfed,Mild,Poor,4397.3,1067.1
93.7,1435.0,33.6,AT 362,Rainfed,None,Average,4113.1,1364.8
66.0,1144.0,32.5,AT 362,Full Irrigation,Mild,Good,4356.7,1527.0
41.5,1883.0,30.2,Traditional,Partial Irrigation,None,Good,4153.7,1048.6
94.5,1318.0,29.8,AT 362,Rainfed,Moderate,Average,4113.1,1250.8
33.1,1666.0,30.0,BG 359,Partial Irrigation,None,Excellent,4275.5,1809.3
39.9,1570.0,29.5,AT 362,Rainfed,None,Excellent,4437.9,1784.6
82.7,2041.0,24.6,BG 358,Partial Irrigation,Mild,Excellent,4356.7,1846.4
94.7,1059.0,31.0,BG 359,Rainfed,None,Average,4356.7,1304.4
109.5,1049.0,31.2,Traditional,Partial Irrigation,None,Excellent,4356.7,1337.5
47.3,1290.0,29.1,BG 352,Full Irrigation,Moderate,Poor,4397.3,1372.8
31.1,1461.0,32.7,BG 358,Rainfed,None,Excellent,4275.5,1455.1
115.6,1288.0,30.7,BG 352,Full Irrigation,None,Good,4153.7,2390.2
35.4,1892.0,27.6,BG 359,Rainfed,None,Good,4397.3,1460.5
39.8,1219.0,24.2,AT 362,Partial Irrigation,Mild,Poor,4275.5,1008.7
49.1,1010.0,24.6,BG 352,Full Irrigation,Mild,Excellent,4275.5,1565.4
72.9,1438.0,27.5,BG 359,Full Irrigation,Moderate,Average,4234.9,1734.6
108.3,1905.0,28.6,BG 359,Rainfed,None,Good,4153.7,1950.5
96.1,2006.0,25.7,AT 362,Rainfed,None,Poor,4437.9,1048.7
90.8,1853.0,25.9,BG 358,Full Irrigation,None,Excellent,4397.3,2633.6
37.5,1625.0,26.3,BG 352,Full Irrigation,None,Average,4316.1,1893.2
55.8,1841.0,31.8,BG 352,Partial Irrigation,Mild,Excellent,4234.9,1510.5
67.8,1786.0,31.7,BG 359,Rainfed,None,Excellent,4397.3,1895.0
34.7,1205.0,27.8,BG 359,Partial Irrigation,Mild,Good,4275.5,1829.9
47.3,1616.0,25.7,Traditional,Partial Irrigation,Mild,Poor,4234.9,822.9
50.8,1902.0,25.1,BG 359,Partial Irrigation,Mild,Average,4275.5,1270.3
32.7,1312.0,24.9,BG 352,Rainfed,None,Good,4194.3,1314.2
75.0,1750.0,27.9,AT 362,Rainfed,None,Good,4113.1,1769.4
90.5,1526.0,24.5,BG 352,Full Irrigation,Moderate,Good,4275.5,1766.0
27.0,1554.0,27.3,BG 358,Rainfed,Mild,Poor,4397.3,1116.3
68.1,1017.0,33.6,AT 362,Full Irrigation,None,Good,4113.1,1552.9
98.2,1766.0,29.1,BG 358,Partial Irrigation,Mild,Poor,4397.3,1718.9
94.8,2025.0,32.2,BG 359,Partial Irrigation,Moderate,Average,4397.3,1308.6
101.5,1084.0,25.3,BG 359,Full Irrigation,None,Poor,4194.3,1408.3
64.8,1376.0,26.7,Traditional,Rainfed,Moderate,Good,4316.1,990.3
102.1,963.0,33.5,BG 358,Full Irrigation,None,Good,4153.7,2108.2
44.1,939.0,27.8,Traditional,Rainfed,Severe,Excellent,4356.7,557.6
56.1,2187.0,30.5,AT 362,Partial Irrigation,None,Average,4356.7,1276.6
37.6,1542.0,33.8,AT 362,Partial Irrigation,None,Poor,4234.9,1068.1
66.7,1362.0,29.5,BG 352,Partial Irrigation,None,Poor,4113.1,1395.8
59.2,1257.0,27.1,BG 352,Rainfed,Moderate,Excellent,4437.9,1514.0
44.1,2174.0,29.3,AT 362,Full Irrigation,Severe,Excellent,4275.5,1115.0
95.2,1228.0,24.5,BG 359,Rainfed,None,Poor,4437.9,1427.8
51.4,1843.0,25.1,BG 358,Partial Irrigation,None,Good,4356.7,1622.9
47.3,1269.0,24.1,Traditional,Partial Irrigation,None,Average,4397.3,1086.7
33.1,992.0,32.8,BG 358,Partial Irrigation,None,Average,4356.7,1090.4
63.9,1788.0,30.7,BG 359,Partial Irrigation,Mild,Good,4153.7,1650.7
50.3,902.0,27.0,AT 362,Full Irrigation,None,Excellent,4234.9,1722.1
56.9,1778.0,26.2,Traditional,Full Irrigation,Severe,Poor,4275.5,719.5
43.6,1225.0,30.8,Traditional,Rainfed,Moderate,Excellent,4275.5,893.2
96.3,1870.0,33.2,AT 362,Partial Irrigation,None,Poor,4113.1,1188.8
113.0,1901.0,27.0,BG 352,Partial Irrigation,None,Good,4275.5,2093.9
69.8,1841.0,27.2,BG 352,Partial Irrigation,Severe,Poor,4153.7,719.8
84.3,932.0,32.5,AT 362,Full Irrigation,Moderate,Poor,4356.7,948.7
106.7,1815.0,32.9,BG 359,Partial Irrigation,Mild,Poor,4356.7,1335.6
119.9,2187.0,33.1,BG 352,Partial Irrigation,None,Excellent,4437.9,1965.0
81.4,1215.0,26.9,AT 362,Rainfed,None,Good,4356.7,1721.9
109.0,1257.0,25.2,Traditional,Partial Irrigation,Mild,Good,4234.9,1469.8
110.9,1958.0,28.4,BG 352,Partial Irrigation,None,Poor,4437.9,1636.0
99.1,1109.0,27.0,Traditional,Partial Irrigation,Mild,Excellent,4234.9,1385.6
66.1,1759.0,32.8,BG 358,Full Irrigation,Mild,Excellent,4194.3,2201.5
28.1,1882.0,24.4,BG 358,Rainfed,None,Average,4437.9,1041.8
21.6,948.0,30.3,AT 362,Rainfed,None,Excellent,4234.9,1019.8
67.7,1620.0,33.1,BG 358,Partial Irrigation,None,Poor,4113.1,1391.8
69.4,1649.0,33.8,BG 352,Rainfed,Moderate,Average,4275.5,1049.5
60.7,1294.0,30.5,Traditional,Full Irrigation,None,Poor,4397.3,1090.1
76.8,2039.0,33.5,BG 358,Full Irrigation,None,Poor,4153.7,1486.0
75.2,1112.0,24.8,BG 352,Partial Irrigation,Severe,Excellent,4275.5,801.4
103.7,1373.0,27.6,AT 362,Partial Irrigation,Mild,Average,4153.7,1749.4
30.9,2003.0,24.1,BG 358,Rainfed,None,Good,4356.7,1192.8
42.5,1148.0,33.8,AT 362,Partial Irrigation,Moderate,Excellent,4275.5,969.5
99.3,1968.0,33.0,BG 352,Full Irrigation,None,Excellent,4194.3,2292.1
104.8,1003.0,24.3,BG 359,Full Irrigation,Severe,Average,4194.3,1041.2
119.5,1536.0,24.2,BG 359,Full Irrigation,Moderate,Average,4316.1,1948.6
107.3,998.0,27.7,Traditional,Partial Irrigation,None,Poor,4356.7,1145.6
109.0,1781.0,26.6,BG 359,Partial Irrigation,None,Excellent,4437.9,2957.2
51.4,1928.0,32.5,Traditional,Rainfed,None,Excellent,4234.9,967.4
